Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Dealul Balaciului,balaciu,3,46.0723929312656,23.1366210538818,Alba,Deal,13152,Dealul Balaciului,Geomil 25000,Limba română
Dealul Balcaciu,balcaci,3,46.1293505578533,24.0762566826838,Alba,Deal,11424,Dealul Balcaciu,Geomil 25000,Limba română
Valea Balcaciu,balcaci,3,46.2179331938749,24.0735326380594,Alba,Vale,11423,Valea Balcaciu,Geomil 25000,Limba română
Pădurea Berindei,berindei,3,46.2056581905428,24.0835437077728,Alba,Pădure,8636,Pădurea Berindei,PDT,Limba română
Beșineu,beșineu,3,46.0944501533202,23.8087127434583,Alba,Localitate,10482,Beșineu,Transilvania (1869-1870),Limba română
Bibarț,bibarţ,2,46.178105151931,23.8022649104907,Alba,Altele,12825,Bibarț,Geomil 25000,Limba română
Boncești,boncești,3,46.3628582523079,23.0728517925333,Alba,Localitate,14670,Boncești,ANCPI,Limba română
Dealu Coman,coman,3,46.2586684389046,23.3504577302417,Alba,Deal,11830,Dealu Coman,Geomil 25000,Limba română,Dealul Coman,PDT,Limba română
Vârful Comanului,coman,3,45.6508456962052,23.5383245049305,Alba,Înălțime,10460,Vârful Comanului,Geomil 25000,Limba română,Dl. Koman,Transilvania (1869-1870),Limba română,Dealul Comanului,PDT,Limba română
Epure,epure,2,46.1362889040967,23.145652064022,Alba,Deal,11822,Epure,Transilvania (1869-1870),Limba română,Dealul Iepurelui,Geomil 25000,Limba română
Furduiești,furduești,3,46.3361543230606,23.0807508291548,Alba,Localitate,10666,Furduiești,Geomil 25000,Limba română
Furduiești,furduești,3,46.3129649849665,22.989105830628,Alba,Localitate,12506,Furduiești,Geomil 25000,Limba română
Galați,galați,2,46.0905566222449,23.2929136153191,Alba,Localitate,11778,Galați,Geomil 25000,Limba română,Galatz,Transilvania (1869-1870),Limba română
Dealul Gârda,gârda,3,46.1098998117443,22.8888458115674,Alba,Deal,15224,Dealul Gârda,ANCPI,Limba română
Gârda Seacă,gârda,3,46.5518571703424,22.7654062209734,Alba,Vale,15185,Gârda Seacă,ANCPI,Limba română
